id,value,color
ALL,,
ALL.Italy,,
ALL.Italy.卡图卢斯,1,#598987
ALL.Italy.吉奥乔·阿甘本,1,#598987
ALL.Italy.埃莱娜·费兰特,3,#598987
ALL.Italy.大卫德·卡利文,4,#598987
ALL.Italy.普里莫·莱维,1,#598987
ALL.Italy.普里莫·莱维PrimoLevi,1,#598987
ALL.Italy.西塞罗,1,#598987
ALL.Italy.阿塔那修,1,#598987
ALL.Italy.马基雅维利,1,#598987
ALL.Japan,,
ALL.Japan.三岛由纪夫,1,#FFCC99
ALL.Japan.三浦紫苑,1,#FFCC99
ALL.Japan.东野圭吾,2,#FFCC99
ALL.Japan.中勘助,5,#FFCC99
ALL.Japan.井上雄彦,1,#FFCC99
ALL.Japan.伊坂幸太郎,2,#FFCC99
ALL.Japan.加藤和也,3,#FFCC99
ALL.Japan.原田泰治,1,#FFCC99
ALL.Japan.吉川幸次郎,1,#FFCC99
ALL.Japan.妹尾河童,2,#FFCC99
ALL.Japan.安倍夜郎,1,#FFCC99
ALL.Japan.安房直子文,3,#FFCC99
ALL.Japan.安野光雅,1,#FFCC99
ALL.Japan.宫泽贤治,1,#FFCC99
ALL.Japan.宫西达也,1,#FFCC99
ALL.Japan.小林章,1,#FFCC99
ALL.Japan.川路祐三子,1,#FFCC99
ALL.Japan.彰国社,1,#FFCC99
ALL.Japan.成田良悟著,1,#FFCC99
ALL.Japan.成美堂出版编辑部,1,#FFCC99
ALL.Japan.户根勤,1,#FFCC99
ALL.Japan.星新一,2,#FFCC99
ALL.Japan.星野道夫,1,#FFCC99
ALL.Japan.权田万治,3,#FFCC99
ALL.Japan.杉作,1,#FFCC99
ALL.Japan.松本零士,1,#FFCC99
ALL.Japan.永山裕子,1,#FFCC99
ALL.Japan.田中一光、朱锷编,2,#FFCC99
ALL.Japan.田岛征彦,1,#FFCC99
ALL.Japan.矢泽爱,3,#FFCC99
ALL.Japan.贵志祐介,1,#FFCC99
ALL.Japan.辛岛静志,2,#FFCC99
ALL.Japan.野上隼夫绘,1,#FFCC99
ALL.Japan.金子美铃,1,#FFCC99
ALL.Japan.青木和子,1,#FFCC99
ALL.Japan.靓丽出版社,1,#FFCC99
ALL.Japan.黑柳彻子,2,#FFCC99
ALL.Japan.黑柳彻子著,1,#FFCC99
ALL.Korea,,
ALL.Korea.尹胎镐,1,#FF9966
ALL.Korea.金善贤绘著,2,#FF9966
ALL.Korea.金玟廷著,1,#FF9966
ALL.Netherlands,,
ALL.Netherlands.威尔•海根文,1,#FF9999
ALL.Netherlands.文森特•梵高,1,#FF9999
ALL.Netherlands.马克斯•维尔修思MaxVelthuijs,2,#FF9999
ALL.Poland,,
ALL.Poland.亚历山德拉·米热林斯卡、丹尼尔·米热林斯基著,2,#FFCC99
ALL.Poland.伊萨克•多伊彻,2,#FFCC99
ALL.Portuguese,,
ALL.Portuguese.费尔南多·佩索阿,1,#FF9966
ALL.Russia,,
ALL.Russia.A·盖里曼,1,#FF9966
ALL.Russia.亚历山大·索尔仁尼琴,1,#FF9966
ALL.Russia.列夫·托尔斯泰,3,#FF9966
ALL.Russia.安德烈·塔可夫斯基,1,#FF9966
ALL.Russia.布尔加科夫,1,#FF9966
ALL.Russia.康·帕乌斯托夫斯基,1,#FF9966
ALL.Russia.拉夫连季耶夫、沙巴特,3,#FF9966
ALL.Russia.斯坦尼斯拉夫斯基,1,#FF9966
ALL.Russia.普希金,1,#FF9966
ALL.Russia.维克托·阿斯塔菲耶夫,1,#FF9966
ALL.Russia.肖斯塔科维奇口述、伏尔科夫记录并整理,1,#FF9966
ALL.Russia.菲赫金哥尔茨,1,#FF9966
ALL.Russia.费·陀思妥耶夫斯基,4,#FF9966
ALL.Russia.赫尔岑,1,#FF9966
ALL.Russia.陀思妥耶夫斯基,1,#FF9966
ALL.Russia.马雅可夫斯基著,1,#FF9966
ALL.Spain,,
ALL.Spain.路易斯·塞尔努达,1,#34495e
ALL.Spain.阿尔贝托·门德斯,4,#34495e
ALL.Sweden,,
ALL.Sweden.喜仁龙OsvaldSirén,1,#FF9999
ALL.Sweden.托马斯·特朗斯特罗姆,1,#FF9999
ALL.Sweden.波·R·汉伯格,1,#FF9999
ALL.Swiss,,
ALL.Swiss.费尔迪南·德·索绪尔,1,#FFCC99
