id,value,color
ALL.Denmark.安徒生,1,#FFCC99
ALL.Denmark.索伦·克尔凯郭尔,3,#FFCC99
ALL.Denmark.金·弗珀兹·艾克松,1,#FFCC99
ALL.Israel.尤瓦尔·赫拉利,2,#CCFF99
ALL.Iran.阿巴斯·基阿鲁斯达米,7,#CCFF99
ALL.Russia.亚历山大·索尔仁尼琴,1,#CCFF99
ALL.Russia.列夫·托尔斯泰,3,#CCFF99
ALL.Russia.布尔加科夫,1,#CCFF99
ALL.Russia.康·帕乌斯托夫斯基,1,#CCFF99
ALL.Russia.普希金,1,#CCFF99
ALL.Russia.维克托·阿斯塔菲耶夫,1,#CCFF99
ALL.Russia.费·陀思妥耶夫斯基,4,#CCFF99
ALL.Russia.赫尔岑,1,#CCFF99
ALL.Russia.陀思妥耶夫斯基,1,#CCFF99
ALL.Russia.拉夫连季耶夫、沙巴特,3,#CCFF99
ALL.Russia.菲赫金哥尔茨,1,#CCFF99
ALL.Canada.佩里·诺德曼、ALL.Canada.梅维丝·雷默,1,#FFFF99
ALL.Canada.威尔·金里卡,1,#FFFF99
ALL.Canada.露西·莫德·蒙哥玛利,1,#FFFF99
ALL.Canada.麦克唐纳德SteveMcDonald,2,#FFFF99
ALL.India.泰戈尔,1,#FFCC99
ALL.India.毗耶娑,2,#FFCC99
ALL.India.泰戈尔,1,#FFCC99
ALL.India.阿马蒂亚·森,1,#FFCC99
ALL.Colombia.加西亚·马尔克斯,1,#CCFF99
ALL.Austria.劳伦兹,4,#CCCCFF
ALL.Austria.康拉德•洛伦茨,1,#CCCCFF
ALL.Austria.斯台芬·茨威格,1,#CCCCFF
ALL.Austria.斯特凡·茨威格,2,#CCCCFF
ALL.Austria.斯蒂芬・茨威格,1,#CCCCFF
ALL.Austria.斯蒂芬·茨威格,4,#CCCCFF
ALL.Austria.斯蒂芬·茨威格|译者:叶廷芳,1,#CCCCFF
ALL.Austria.维特根斯坦,1,#CCCCFF
ALL.Austria.茨威格,1,#CCCCFF
ALL.Brazil.法比奥·穆恩FábioMoon,4,#CCCCFF
ALL.Brazil.若泽•毛罗•德瓦斯康塞洛斯,1,#CCCCFF
ALL.Greece.柏拉图,1,#CCCCFF
ALL.Greece.索福克勒斯,1,#CCCCFF
ALL.Germany.F.W.J.谢林,1,#CCFF99
ALL.Germany.亚瑟·叔本华,1,#CCFF99
ALL.Germany.伊曼努尔·康ALL.Germany.李秋零编译,1,#CCFF99
ALL.Germany.叔本华,1,#CCFF99
ALL.Germany.尼采,3,#CCFF99
ALL.Germany.康ALL.Germany.邓晓芒,1,#CCFF99
ALL.Germany.康ALL.Germany.邓晓芒译、杨祖陶校,1,#CCFF99
ALL.Germany.朱莉娅·恩德斯,1,#CCFF99
ALL.Germany.毕尔麦尔,1,#CCFF99
ALL.Germany.沃尔夫·埃布鲁赫文,1,#CCFF99
ALL.Germany.海因里希·伯尔文、ALL.French.贝尔纳尔·弗里奥编译、ALL.French.埃米尔·布拉沃图,1,#CCFF99
ALL.Germany.海德格尔,1,#CCFF99
ALL.Germany.瓦尔特·莫尔斯,2,#CCFF99
ALL.Germany.艾·爱因斯坦、波利·英费尔ALL.Germany.周肇威,3,#CCFF99
ALL.Germany.赫尔曼·黑塞,1,#CCFF99
ALL.Germany.迪特里希·朋霍费尔,2,#CCFF99
ALL.Germany.马丁·海德格尔,1,#CCFF99
ALL.Germany.黑格尔,2,#CCFF99
ALL.Italy.吉奥乔·阿甘本,1,#FFFF99
ALL.Italy.埃莱娜·费兰特,3,#FFFF99
ALL.Italy.大卫德·卡利文、ALL.French.塞吉·布罗什图,4,#FFFF99
ALL.Italy.普里莫·莱维,1,#FFFF99
ALL.Italy.普里莫·莱维PrimoLevi,1,#FFFF99
ALL.Italy.马基雅维利,1,#FFFF99
ALL.Italy.卡图卢斯,1,#FFFF99
ALL.Italy.西塞罗,1,#FFFF99
ALL.Italy.阿塔那修,1,#FFFF99
ALL.Czech.约瑟夫·拉达,1,#FF9999
ALL.Japan.三岛由纪夫,1,#FFCC99
ALL.Japan.三浦紫苑,1,#FFCC99
ALL.Japan.东野圭吾,2,#FFCC99
ALL.Japan.中勘助,5,#FFCC99
ALL.Japan.井上雄彦,1,#FFCC99
ALL.Japan.伊坂幸太郎,2,#FFCC99
ALL.Japan.加藤和也、ALL.Japan.黑川信重、ALL.Japan.斋藤毅,3,#FFCC99
ALL.Japan.原田泰治,1,#FFCC99
ALL.Japan.吉川幸次郎,1,#FFCC99
ALL.Japan.妹尾河童,2,#FFCC99
ALL.Japan.安倍夜郎,1,#FFCC99
ALL.Japan.安房直子文、ALL.Japan.织茂恭子绘,3,#FFCC99
ALL.Japan.安野光雅,1,#FFCC99
ALL.Japan.宫泽贤治,1,#FFCC99
ALL.Japan.宫西达也,1,#FFCC99
ALL.Japan.小林章,1,#FFCC99
ALL.Japan.川路祐三子,1,#FFCC99
ALL.Japan.彰国社,1,#FFCC99
ALL.Japan.成田良悟著、ALL.Japan.安田铃人绘,1,#FFCC99
ALL.Japan.成美堂出版编辑部,1,#FFCC99
ALL.Japan.户根勤,1,#FFCC99
ALL.Japan.星新一,2,#FFCC99
ALL.Japan.星野道夫,1,#FFCC99
ALL.Japan.权田万治,3,#FFCC99
ALL.Japan.杉作,1,#FFCC99
ALL.Japan.松本零士,1,#FFCC99
ALL.Japan.永山裕子,1,#FFCC99
ALL.Japan.田中一光、朱锷编,2,#FFCC99
ALL.Japan.田岛征彦,1,#FFCC99
ALL.Japan.矢泽爱,3,#FFCC99
ALL.Japan.贵志祐介,1,#FFCC99
ALL.Japan.辛岛静志,2,#FFCC99
ALL.Japan.野上隼夫绘,1,#FFCC99
ALL.Japan.金子美铃,1,#FFCC99
ALL.Japan.青木和子,1,#FFCC99
ALL.Japan.靓丽出版社,1,#FFCC99
ALL.Japan.黑柳彻子,2,#FFCC99
ALL.Japan.黑柳彻子著ALL.Japan.岩崎千弘绘,1,#FFCC99
ALL.Belgium.嘉贝丽·文生,1,#FFFF99
ALL.French.儒勒·米什莱,1,#CCFF99
ALL.French.克劳德•拉朋特西尔维特•甘多勒,1,#CCFF99
ALL.French.克里斯多夫·夏布特,2,#CCFF99
ALL.French.克里斯托弗·加尔法ALL.Germany.童文煦,2,#CCFF99
ALL.French.列维-斯特劳斯,3,#CCFF99
ALL.French.勒·柯布西耶、ALL.Swiss.W·博奥席耶等,3,#CCFF99
ALL.French.圣·埃克苏佩里,1,#CCFF99
ALL.French.圣埃克絮佩里,1,#CCFF99
ALL.French.圣埃克苏佩里,1,#CCFF99
ALL.French.埃曼努埃尔·吉贝尔编绘,4,#CCFF99
ALL.French.巴尔扎克,1,#CCFF99
ALL.French.布鲁诺·巴贝摄影,1,#CCFF99
ALL.French.帕斯卡尔·拉巴泰,1,#CCFF99
ALL.French.帕特里克·德韦弗文、ALL.French.让·弗朗索瓦·布翁克里斯蒂亚尼图,1,#CCFF99
ALL.French.托克维尔,1,#CCFF99
ALL.French.潘斯,3,#CCFF99
ALL.French.珍妮弗•耶基斯,1,#CCFF99
ALL.French.碧姬·拉贝、米歇尔·毕奇、绘画:ALL.French.雅克·阿扎姆,1,#CCFF99
ALL.French.米歇尔·福柯,2,#CCFF99
ALL.French.米歇尔·福柯、汪民安编,4,#CCFF99
ALL.French.罗兰·拉库尔布、比利时,2,#CCFF99
ALL.French.艾玛纽埃尔·勒巴热EmmanuelLepage,1,#CCFF99
ALL.French.艾蒂安·达沃多,1,#CCFF99
ALL.French.莫里哀,1,#CCFF99
ALL.French.西蒙娜·德·波伏瓦,1,#CCFF99
ALL.French.让-克劳德·弗洛克、Floc’h,1,#CCFF99
ALL.French.让·雅克·桑贝,1,#CCFF99
ALL.French.让•乔诺文、ALL.French.弗瑞德里克•拜克图,1,#CCFF99
ALL.French.费尔南·布罗代尔,1,#CCFF99
ALL.French.阿尔弗雷德·登克尔、ALL.Germany.汉斯-赫尔穆特·甘德、ALL.Germany.霍尔格·察博罗夫斯基主编,3,#CCFF99
ALL.French.阿尔贝·加缪,1,#CCFF99
ALL.French.墨比斯,5,#CCFF99
ALL.Poland.伊萨克•多伊彻,2,#FFCC99
ALL.Poland.亚历山德拉·米热林斯卡、丹尼尔·米热林斯基著,2,#FFCC99
ALL.Australia.彼得·哈里森,2,#FFCC99
ALL.Australia.格里高利·大卫·罗伯兹,1,#FFCC99
ALL.Ireland.叶芝编,2,#FF9999
ALL.Sweden.喜仁龙OsvaldSirén,1,#FF9999
ALL.Sweden.托马斯·特朗斯特罗姆,1,#FF9999
ALL.Sweden.波·R·汉伯格、ALL.Sweden.爱娃·艾瑞克松图,1,#FF9999
ALL.Swiss.费尔迪南·德·索绪尔,1,#FFCC99
ALL.America.A.T.马汉,1,#CCCCFF
ALL.America.A.司各特·伯格,1,#CCCCFF
